公司编码,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
002053,2020-07-14,7.84,8.14,7.72,8.06,0.22,2.81,"72,816","5,786",5.36,1.96
002053,2020-07-13,7.68,7.87,7.62,7.84,0.17,2.22,"55,618","4,330",3.26,1.50
002053,2020-07-10,7.78,7.87,7.63,7.67,-0.13,-1.67,"53,043","4,109",3.08,1.43
002053,2020-07-09,7.73,7.87,7.60,7.80,0.10,1.30,"57,043","4,409",3.51,1.53
002053,2020-07-08,7.44,7.76,7.40,7.70,0.26,3.49,"60,224","4,589",4.84,1.62
002053,2020-07-07,7.58,7.65,7.37,7.44,-0.09,-1.20,"51,277","3,849",3.72,1.38
002053,2020-07-06,7.37,7.56,7.31,7.53,0.24,3.29,"53,780","4,004",3.43,1.45
002053,2020-07-03,7.23,7.36,7.17,7.29,0.08,1.11,"34,465","2,505",2.64,0.93
002053,2020-07-02,7.24,7.26,7.14,7.21,-0.03,-0.41,"36,128","2,604",1.66,0.97
002053,2020-07-01,7.09,7.25,7.03,7.24,0.16,2.26,"42,456","3,046",3.11,1.14
公司编码,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
002053,2020-06-30,7.12,7.25,7.07,7.08,-0.02,-0.28,"40,292","2,888",2.54,1.08
002053,2020-06-29,6.90,7.13,6.90,7.10,0.03,0.42,"26,768","1,881",3.25,0.72
002053,2020-06-24,6.92,7.10,6.92,7.07,0.12,1.73,"25,957","1,821",2.59,0.70
002053,2020-06-23,6.88,6.95,6.84,6.95,0.07,1.02,"13,217",914,1.60,0.36
002053,2020-06-22,6.98,6.99,6.85,6.88,-0.08,-1.15,"24,930","1,721",2.01,0.67
002053,2020-06-19,7.01,7.05,6.96,6.96,-0.03,-0.43,"23,524","1,646",1.29,0.63
002053,2020-06-18,7.10,7.10,6.96,6.99,-0.07,-0.99,"25,179","1,763",1.98,0.68
002053,2020-06-17,7.06,7.15,7.02,7.14,0.04,0.56,"25,872","1,832",1.83,0.70
002053,2020-06-16,7.10,7.16,7.05,7.10,-0.04,-0.56,"32,995","2,342",1.54,0.89
002053,2020-06-15,7.00,7.21,7.00,7.14,-0.11,-1.52,"67,180","4,763",2.90,1.81
002053,2020-06-12,6.86,7.50,6.82,7.25,0.42,6.15,"110,649","7,893",9.96,2.98
002053,2020-06-11,6.83,6.86,6.79,6.83,0.02,0.29,"11,041",753,1.03,0.30
002053,2020-06-10,6.85,6.85,6.78,6.81,-0.04,-0.58,"10,379",707,1.02,0.28
002053,2020-06-09,6.89,6.91,6.83,6.85,-0.05,-0.72,"20,900","1,432",1.16,0.56
002053,2020-06-08,6.97,7.02,6.89,6.90,-0.07,-1.00,"20,200","1,399",1.87,0.54
002053,2020-06-05,6.90,7.09,6.90,6.97,0.02,0.29,"24,261","1,692",2.73,0.65
002053,2020-06-04,6.97,7.01,6.90,6.95,0.00,0.00,"18,936","1,315",1.58,0.51
002053,2020-06-03,6.98,7.05,6.92,6.95,-0.03,-0.43,"26,816","1,872",1.86,0.72
002053,2020-06-02,7.00,7.00,6.94,6.98,-0.01,-0.14,"21,723","1,514",0.86,0.58
002053,2020-06-01,6.92,7.02,6.87,6.99,0.06,0.87,"31,992","2,231",2.16,0.86
002053,2020-05-29,6.81,6.93,6.80,6.93,0.06,0.87,"23,909","1,643",1.89,0.64
002053,2020-05-28,6.85,6.87,6.75,6.87,0.03,0.44,"23,347","1,593",1.75,0.63
002053,2020-05-27,6.85,6.92,6.73,6.84,0.00,0.00,"27,816","1,899",2.78,0.75
002053,2020-05-26,6.75,6.86,6.75,6.84,0.04,0.59,"20,468","1,393",1.62,0.55
002053,2020-05-25,6.65,6.84,6.65,6.80,0.11,1.64,"17,978","1,212",2.84,0.48
002053,2020-05-22,6.70,6.83,6.65,6.69,-0.02,-0.30,"27,129","1,831",2.68,0.73
002053,2020-05-21,6.88,6.97,6.66,6.71,-0.16,-2.33,"31,912","2,165",4.51,0.86
002053,2020-05-20,6.96,7.02,6.82,6.87,-0.15,-2.14,"22,733","1,572",2.85,0.61
002053,2020-05-19,6.90,7.03,6.85,7.02,0.12,1.74,"31,385","2,184",2.61,0.84
002053,2020-05-18,6.82,6.91,6.75,6.90,0.09,1.32,"23,638","1,617",2.35,0.64
002053,2020-05-15,6.79,6.93,6.79,6.81,0.03,0.44,"13,565",927,2.06,0.36
002053,2020-05-14,6.83,6.84,6.75,6.78,-0.10,-1.45,"20,697","1,402",1.31,0.56
002053,2020-05-13,6.80,6.92,6.73,6.88,0.08,1.18,"21,687","1,483",2.79,0.58
002053,2020-05-12,6.81,6.91,6.76,6.80,-0.07,-1.02,"17,390","1,187",2.18,0.47
002053,2020-05-11,6.76,6.88,6.76,6.87,0.09,1.33,"23,946","1,630",1.77,0.64
002053,2020-05-08,6.76,6.88,6.75,6.78,0.00,0.00,"29,799","2,029",1.92,0.80
002053,2020-05-07,6.77,6.80,6.72,6.78,0.00,0.00,"18,268","1,235",1.18,0.49
002053,2020-05-06,6.70,6.79,6.64,6.78,0.02,0.30,"19,809","1,335",2.22,0.53
002053,2020-04-30,6.72,6.83,6.70,6.76,0.04,0.60,"25,012","1,693",1.93,0.67
002053,2020-04-29,6.55,6.75,6.43,6.72,0.22,3.38,"22,724","1,502",4.92,0.61
002053,2020-04-28,6.68,6.71,6.38,6.50,-0.19,-2.84,"19,068","1,251",4.93,0.51
002053,2020-04-27,6.63,6.72,6.56,6.69,0.06,0.91,"20,676","1,375",2.41,0.56
002053,2020-04-24,6.62,6.71,6.55,6.63,0.00,0.00,"16,210","1,075",2.41,0.44
002053,2020-04-23,6.53,6.70,6.52,6.63,0.09,1.38,"22,262","1,470",2.75,0.60
002053,2020-04-22,6.39,6.55,6.36,6.54,0.09,1.40,"10,412",675,2.95,0.28
002053,2020-04-21,6.48,6.49,6.40,6.45,-0.06,-0.92,"14,407",926,1.38,0.39
002053,2020-04-20,6.57,6.61,6.47,6.51,-0.09,-1.36,"17,057","1,112",2.12,0.46
002053,2020-04-17,6.65,6.71,6.58,6.60,-0.05,-0.75,"13,380",890,1.95,0.36
002053,2020-04-16,6.60,6.65,6.55,6.65,0.06,0.91,"11,583",766,1.52,0.31
002053,2020-04-15,6.72,6.72,6.56,6.59,-0.11,-1.64,"16,060","1,066",2.39,0.43
002053,2020-04-14,6.62,6.72,6.60,6.70,0.12,1.82,"10,792",720,1.82,0.29
002053,2020-04-13,6.79,6.79,6.54,6.58,-0.11,-1.64,"12,436",824,3.74,0.33
002053,2020-04-10,6.90,6.90,6.64,6.69,-0.18,-2.62,"17,849","1,205",3.78,0.48
002053,2020-04-09,6.95,6.95,6.83,6.87,-0.05,-0.72,"18,835","1,295",1.73,0.51
002053,2020-04-08,6.85,6.95,6.73,6.92,0.04,0.58,"37,230","2,536",3.20,1.00
002053,2020-04-07,6.75,7.00,6.72,6.88,0.17,2.53,"39,536","2,716",4.17,1.06
002053,2020-04-03,6.61,6.85,6.56,6.71,0.11,1.67,"31,895","2,136",4.39,0.86
002053,2020-04-02,6.52,6.60,6.30,6.60,0.13,2.01,"15,923","1,037",4.64,0.43
002053,2020-04-01,6.60,6.77,6.45,6.47,-0.10,-1.52,"23,517","1,558",4.87,0.63
公司编码,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
002053,2020-03-31,6.48,6.68,6.43,6.57,0.14,2.18,"30,404","1,998",3.89,0.82
002053,2020-03-30,6.67,6.67,6.31,6.43,-0.25,-3.74,"30,852","1,981",5.39,0.83
002053,2020-03-27,6.72,6.75,6.62,6.68,0.01,0.15,"14,546",972,1.95,0.39
002053,2020-03-26,6.67,6.77,6.62,6.67,0.00,0.00,"17,738","1,190",2.25,0.48
002053,2020-03-25,6.61,6.75,6.56,6.67,0.17,2.62,"28,047","1,864",2.92,0.75
002053,2020-03-24,6.45,6.55,6.36,6.50,0.15,2.36,"17,197","1,115",2.99,0.46
002053,2020-03-23,6.43,6.46,6.32,6.35,-0.15,-2.31,"14,311",913,2.15,0.39
002053,2020-03-20,6.38,6.55,6.35,6.50,0.18,2.85,"16,159","1,045",3.16,0.43
