公司编码,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
600873,2020-07-14,5.40,5.45,5.19,5.38,0.07,1.32,"1,077,303","57,445",4.90,3.50
600873,2020-07-13,4.85,5.31,4.85,5.31,0.48,9.94,"973,735","50,267",9.52,3.16
600873,2020-07-10,4.90,4.94,4.81,4.83,-0.07,-1.43,"351,527","17,096",2.65,1.14
600873,2020-07-09,4.88,4.95,4.86,4.90,0.01,0.20,"512,065","25,109",1.84,1.66
600873,2020-07-08,4.86,4.92,4.80,4.89,0.03,0.62,"373,267","18,169",2.47,1.21
600873,2020-07-07,4.88,4.92,4.84,4.86,0.01,0.21,"429,160","20,946",1.65,1.39
600873,2020-07-06,4.69,4.89,4.68,4.85,0.17,3.63,"504,845","24,141",4.49,1.64
600873,2020-07-03,4.71,4.71,4.63,4.68,-0.01,-0.21,"328,576","15,343",1.71,1.07
600873,2020-07-02,4.59,4.72,4.55,4.69,0.11,2.40,"353,809","16,483",3.71,1.15
600873,2020-07-01,4.56,4.64,4.53,4.58,0.04,0.88,"195,730","8,955",2.42,0.64
公司编码,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
600873,2020-06-30,4.58,4.58,4.51,4.54,0.02,0.44,"228,731","10,393",1.55,0.74
600873,2020-06-29,4.75,4.83,4.72,4.78,0.01,0.21,"229,735","10,981",2.31,0.75
600873,2020-06-24,4.83,4.83,4.76,4.77,-0.06,-1.24,"214,405","10,238",1.45,0.70
600873,2020-06-23,4.91,4.92,4.82,4.83,-0.06,-1.23,"227,397","11,021",2.05,0.74
600873,2020-06-22,4.96,4.97,4.85,4.89,-0.01,-0.20,"249,231","12,214",2.45,0.81
600873,2020-06-19,4.84,4.91,4.81,4.90,0.04,0.82,"247,729","12,061",2.06,0.80
600873,2020-06-18,4.92,4.93,4.82,4.86,-0.06,-1.22,"231,980","11,259",2.24,0.75
600873,2020-06-17,4.85,4.95,4.78,4.92,0.03,0.61,"447,345","21,901",3.48,1.45
600873,2020-06-16,4.87,4.92,4.81,4.89,0.07,1.45,"411,312","20,032",2.28,1.34
600873,2020-06-15,4.69,4.88,4.69,4.82,0.14,2.99,"498,805","24,057",4.06,1.62
600873,2020-06-12,4.66,4.75,4.64,4.68,-0.06,-1.27,"217,602","10,238",2.32,0.71
600873,2020-06-11,4.75,4.82,4.71,4.74,-0.01,-0.21,"309,957","14,792",2.32,1.01
600873,2020-06-10,4.63,4.82,4.60,4.75,0.12,2.59,"475,929","22,560",4.75,1.54
600873,2020-06-09,4.63,4.67,4.61,4.63,0.01,0.22,"138,904","6,436",1.30,0.45
600873,2020-06-08,4.60,4.70,4.59,4.62,0.00,0.00,"209,980","9,774",2.38,0.68
600873,2020-06-05,4.61,4.64,4.55,4.62,0.00,0.00,"187,998","8,632",1.95,0.61
600873,2020-06-04,4.62,4.75,4.56,4.62,0.05,1.09,"351,484","16,281",4.16,1.14
600873,2020-06-03,4.64,4.65,4.55,4.57,-0.07,-1.51,"253,177","11,642",2.16,0.82
600873,2020-06-02,4.52,4.65,4.50,4.64,0.12,2.65,"430,835","19,811",3.32,1.40
600873,2020-06-01,4.40,4.54,4.37,4.52,0.15,3.43,"322,705","14,529",3.89,1.05
600873,2020-05-29,4.38,4.40,4.35,4.37,-0.01,-0.23,"131,068","5,734",1.14,0.43
600873,2020-05-28,4.33,4.41,4.27,4.38,0.08,1.86,"228,171","9,923",3.26,0.74
600873,2020-05-27,4.29,4.36,4.29,4.30,-0.01,-0.23,"143,387","6,200",1.62,0.47
600873,2020-05-26,4.32,4.36,4.28,4.31,0.02,0.47,"209,598","9,043",1.86,0.68
600873,2020-05-25,4.26,4.32,4.24,4.29,0.01,0.23,"190,141","8,123",1.87,0.62
