公司编码,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
603079,2020-07-14,36.97,36.97,32.74,34.58,-1.80,-4.95,"115,973","40,511",11.63,17.70
603079,2020-07-13,34.25,36.46,34.25,36.38,2.47,7.28,"94,234","33,282",6.52,14.39
603079,2020-07-10,33.35,34.25,32.70,33.91,0.64,1.92,"93,467","31,479",4.66,14.27
603079,2020-07-09,32.50,33.97,32.02,33.27,1.02,3.16,"96,450","31,777",6.05,14.72
603079,2020-07-08,31.03,32.34,30.81,32.25,1.18,3.80,"85,039","26,976",4.92,12.98
603079,2020-07-07,30.80,31.73,30.43,31.07,0.37,1.21,"92,798","28,841",4.23,14.17
603079,2020-07-06,29.40,30.73,29.15,30.70,1.32,4.49,"96,522","28,993",5.38,14.74
603079,2020-07-03,30.00,30.08,28.88,29.38,-0.47,-1.57,"61,628","18,026",4.02,9.41
603079,2020-07-02,29.70,30.36,29.32,29.85,0.32,1.08,"63,091","18,842",3.52,9.63
603079,2020-07-01,29.82,30.00,29.17,29.53,-0.10,-0.34,"52,383","15,453",2.80,8.00
公司编码,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
603079,2020-06-30,29.09,30.12,29.00,29.63,0.75,2.60,"65,067","19,277",3.88,9.93
603079,2020-06-29,28.69,29.52,28.40,28.88,0.19,0.66,"51,250","14,888",3.90,7.82
603079,2020-06-24,29.11,29.41,28.58,28.69,-0.72,-2.45,"49,286","14,212",2.82,7.52
603079,2020-06-23,29.41,30.18,29.30,29.41,0.20,0.68,"49,458","14,703",3.01,7.55
603079,2020-06-22,29.24,29.48,29.01,29.21,0.02,0.07,"28,054","8,202",1.61,4.28
603079,2020-06-19,29.38,29.75,29.08,29.19,-0.16,-0.55,"34,499","10,125",2.28,5.27
603079,2020-06-18,30.55,30.55,29.10,29.35,-1.18,-3.87,"53,225","15,723",4.75,8.13
603079,2020-06-17,29.54,30.80,29.31,30.53,0.88,2.97,"72,709","21,984",5.03,11.10
603079,2020-06-16,30.95,30.99,29.04,29.65,-0.80,-2.63,"89,549","26,538",6.40,13.67
603079,2020-06-15,30.90,31.27,30.35,30.45,-0.25,-0.81,"72,422","22,269",3.00,11.06
603079,2020-06-12,27.99,31.25,27.73,30.70,2.11,7.38,"86,723","25,787",12.31,13.24
603079,2020-06-11,29.66,29.86,28.48,28.59,-0.95,-3.22,"42,737","12,379",4.67,6.52
603079,2020-06-10,29.04,30.28,28.48,29.54,0.67,2.32,"45,461","13,414",6.23,6.94
603079,2020-06-09,28.99,29.78,28.11,28.87,-0.61,-2.07,"37,487","10,906",5.66,5.72
603079,2020-06-08,29.50,30.86,29.29,29.48,0.35,1.20,"30,382","9,078",5.39,4.64
603079,2020-06-05,41.19,41.35,40.18,40.90,-0.19,-0.46,"29,622","12,060",2.85,6.33
603079,2020-06-04,38.81,42.15,38.50,41.09,2.25,5.79,"43,842","17,683",9.40,9.37
603079,2020-06-03,38.82,39.42,38.65,38.84,-0.05,-0.13,"21,914","8,552",1.98,4.68
603079,2020-06-02,39.29,39.48,38.39,38.89,-0.02,-0.05,"19,885","7,730",2.80,4.25
603079,2020-06-01,38.06,38.99,37.88,38.91,1.39,3.70,"28,337","10,946",2.96,6.06
603079,2020-05-29,37.19,37.92,36.90,37.52,0.42,1.13,"14,840","5,568",2.75,3.17
603079,2020-05-28,38.02,38.06,36.70,37.10,-0.78,-2.06,"15,150","5,649",3.59,3.24
603079,2020-05-27,38.88,39.14,37.49,37.88,-1.00,-2.57,"16,642","6,378",4.24,3.56
603079,2020-05-26,38.00,39.09,37.73,38.88,1.08,2.86,"18,909","7,256",3.60,4.04
603079,2020-05-25,37.47,37.90,37.10,37.80,0.32,0.85,"13,557","5,101",2.13,2.90
603079,2020-05-22,38.82,38.82,36.88,37.48,-1.16,-3.00,"22,864","8,616",5.02,4.89
603079,2020-05-21,39.80,39.89,38.41,38.64,-0.88,-2.23,"20,710","8,099",3.74,4.43
603079,2020-05-20,40.19,40.80,39.44,39.52,-0.73,-1.81,"24,745","9,927",3.38,5.29
603079,2020-05-19,40.90,41.66,39.90,40.25,-0.56,-1.37,"23,036","9,321",4.31,4.92
603079,2020-05-18,41.79,41.79,40.53,40.81,-0.94,-2.25,"16,892","6,938",3.02,3.61
