公司编码,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
600073,2020-07-14,10.73,11.15,10.61,11.00,0.21,1.95,"572,017","62,491",5.00,6.10
600073,2020-07-13,10.37,10.88,10.30,10.79,0.58,5.68,"500,971","53,317",5.68,5.34
600073,2020-07-10,10.03,10.55,9.98,10.21,0.16,1.59,"549,614","56,440",5.67,5.86
600073,2020-07-09,10.00,10.25,9.95,10.05,0.02,0.20,"431,346","43,507",2.99,4.60
600073,2020-07-08,9.94,10.23,9.91,10.15,0.19,1.91,"383,749","38,738",3.21,4.09
600073,2020-07-07,9.87,10.18,9.71,9.96,0.13,1.32,"527,216","52,650",4.78,5.62
600073,2020-07-06,9.56,9.86,9.56,9.83,0.29,3.04,"469,322","45,743",3.14,5.00
600073,2020-07-03,9.60,9.64,9.46,9.54,-0.08,-0.83,"316,091","30,109",1.87,3.37
600073,2020-07-02,9.47,9.74,9.47,9.62,0.18,1.91,"343,790","33,091",2.86,3.67
600073,2020-07-01,9.49,9.52,9.38,9.44,-0.05,-0.53,"225,518","21,303",1.48,2.40
公司编码,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
600073,2020-06-30,9.38,9.52,9.36,9.49,0.15,1.61,"228,753","21,629",1.71,2.44
600073,2020-06-29,9.25,9.36,9.22,9.34,0.06,0.65,"139,341","12,967",1.51,1.49
600073,2020-06-24,9.36,9.39,9.26,9.28,-0.08,-0.85,"146,176","13,596",1.39,1.56
600073,2020-06-23,9.36,9.42,9.28,9.36,0.00,0.00,"166,565","15,585",1.50,1.78
600073,2020-06-22,9.45,9.50,9.24,9.36,-0.14,-1.47,"306,900","28,672",2.74,3.27
600073,2020-06-19,9.45,9.56,9.38,9.50,0.05,0.53,"245,807","23,273",1.90,2.62
600073,2020-06-18,9.55,9.65,9.43,9.45,-0.13,-1.36,"245,526","23,335",2.30,2.62
600073,2020-06-17,9.60,9.62,9.44,9.58,-0.06,-0.62,"286,309","27,248",1.87,3.05
600073,2020-06-16,9.63,9.72,9.54,9.64,-0.02,-0.21,"339,732","32,656",1.86,3.62
600073,2020-06-15,9.38,9.98,9.36,9.66,0.23,2.44,"508,073","49,528",6.57,5.42
600073,2020-06-12,9.30,9.52,9.30,9.43,-0.11,-1.15,"281,568","26,498",2.31,3.00
600073,2020-06-11,9.76,9.76,9.46,9.54,-0.25,-2.55,"374,724","35,926",3.06,4.00
600073,2020-06-10,9.70,9.82,9.56,9.79,0.06,0.62,"315,172","30,541",2.67,3.36
600073,2020-06-09,9.93,10.15,9.67,9.73,-0.19,-1.92,"424,935","41,674",4.84,4.53
600073,2020-06-08,9.91,10.06,9.73,9.92,0.03,0.30,"356,416","35,195",3.34,3.80
600073,2020-06-05,9.98,10.13,9.77,9.89,-0.15,-1.49,"508,885","50,608",3.59,5.43
600073,2020-06-04,9.44,10.26,9.41,10.04,0.59,6.24,"903,548","90,056",8.99,9.64
600073,2020-06-03,9.58,9.63,9.28,9.45,-0.06,-0.63,"373,133","35,134",3.68,3.98
600073,2020-06-02,9.40,9.79,9.40,9.51,0.08,0.85,"516,776","49,610",4.14,5.51
600073,2020-06-01,9.23,9.52,9.18,9.43,0.25,2.72,"368,895","34,472",3.70,3.93
600073,2020-05-29,9.10,9.32,9.09,9.18,0.01,0.11,"288,730","26,612",2.51,3.08
