公司编码,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
603020,2020-07-14,12.46,13.14,12.10,12.30,-0.19,-1.52,"162,766","20,456",8.33,5.09
603020,2020-07-13,12.01,12.56,12.00,12.49,0.44,3.65,"138,667","17,084",4.65,4.33
603020,2020-07-10,12.35,12.64,12.05,12.05,-0.45,-3.60,"193,246","23,695",4.72,6.04
603020,2020-07-09,12.30,12.85,12.03,12.50,-0.24,-1.88,"275,116","34,236",6.44,8.60
603020,2020-07-08,13.08,13.08,12.20,12.74,0.85,7.15,"378,064","48,625",7.40,11.81
603020,2020-07-07,10.92,11.89,10.70,11.89,1.08,9.99,"159,006","17,977",11.01,4.97
603020,2020-07-06,10.23,10.87,10.10,10.81,0.60,5.88,"123,958","13,035",7.54,3.87
603020,2020-07-03,10.02,10.27,9.95,10.21,0.13,1.29,"75,770","7,699",3.17,2.37
603020,2020-07-02,9.85,10.12,9.85,10.08,0.24,2.44,"66,801","6,712",2.74,2.09
603020,2020-07-01,9.90,10.08,9.76,9.84,-0.08,-0.81,"60,771","6,045",3.23,1.90
公司编码,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
603020,2020-06-30,9.81,9.98,9.75,9.92,0.13,1.33,"52,151","5,154",2.35,1.63
603020,2020-06-29,9.51,9.79,9.48,9.79,0.22,2.30,"54,796","5,308",3.24,1.71
603020,2020-06-24,9.76,9.81,9.45,9.57,-0.17,-1.75,"61,109","5,853",3.70,1.91
603020,2020-06-23,9.73,9.86,9.72,9.74,-0.03,-0.31,"36,837","3,605",1.43,1.15
603020,2020-06-22,9.97,9.97,9.75,9.77,-0.24,-2.40,"81,529","8,026",2.20,2.55
603020,2020-06-19,10.10,10.13,10.00,10.01,-0.09,-0.89,"40,249","4,046",1.29,1.26
603020,2020-06-18,10.05,10.12,10.00,10.10,0.01,0.10,"32,121","3,233",1.19,1.00
603020,2020-06-17,10.23,10.25,9.99,10.09,-0.16,-1.56,"54,601","5,499",2.54,1.71
603020,2020-06-16,10.26,10.32,10.09,10.25,0.02,0.20,"55,881","5,685",2.25,1.75
603020,2020-06-15,10.00,10.26,10.00,10.23,0.16,1.59,"55,592","5,656",2.58,1.74
603020,2020-06-12,9.95,10.16,9.89,10.07,-0.11,-1.08,"58,263","5,837",2.65,1.82
603020,2020-06-11,10.12,10.35,10.12,10.18,0.06,0.59,"61,355","6,259",2.27,1.92
603020,2020-06-10,10.13,10.27,10.04,10.12,-0.07,-0.69,"72,746","7,377",2.26,2.27
603020,2020-06-09,10.49,10.57,10.02,10.19,-0.28,-2.67,"117,491","11,979",5.25,3.67
