公司编码,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
600429,2020-07-14,5.59,5.63,5.41,5.54,-0.06,-1.07,"81,066","4,470",3.93,0.54
600429,2020-07-13,5.41,5.63,5.40,5.60,0.17,3.13,"100,968","5,611",4.24,0.67
600429,2020-07-10,5.49,5.51,5.38,5.43,-0.07,-1.27,"70,456","3,835",2.36,0.47
600429,2020-07-09,5.49,5.56,5.41,5.50,0.01,0.18,"108,179","5,924",2.73,0.72
600429,2020-07-08,5.38,5.53,5.36,5.49,0.11,2.04,"79,643","4,338",3.16,0.53
600429,2020-07-07,5.38,5.46,5.31,5.38,0.03,0.56,"97,379","5,254",2.80,0.65
600429,2020-07-06,5.20,5.36,5.19,5.35,0.15,2.88,"94,806","5,024",3.27,0.63
600429,2020-07-03,5.17,5.24,5.13,5.20,0.03,0.58,"43,378","2,253",2.13,0.29
600429,2020-07-02,5.14,5.19,5.09,5.17,0.04,0.78,"51,659","2,658",1.95,0.35
600429,2020-07-01,5.14,5.17,5.09,5.13,-0.01,-0.19,"30,078","1,543",1.56,0.20
公司编码,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
600429,2020-06-30,5.05,5.18,5.05,5.14,0.10,1.98,"37,507","1,926",2.58,0.25
600429,2020-06-29,5.00,5.10,4.96,5.04,0.04,0.80,"27,268","1,378",2.80,0.18
600429,2020-06-24,5.10,5.11,5.00,5.00,-0.09,-1.77,"37,689","1,897",2.16,0.25
600429,2020-06-23,5.07,5.13,5.07,5.09,-0.02,-0.39,"18,204",929,1.17,0.12
600429,2020-06-22,5.17,5.18,5.08,5.11,-0.07,-1.35,"48,489","2,480",1.93,0.32
600429,2020-06-19,5.17,5.22,5.15,5.18,0.00,0.00,"34,550","1,793",1.35,0.23
600429,2020-06-18,5.23,5.23,5.17,5.18,-0.07,-1.33,"37,899","1,965",1.14,0.25
600429,2020-06-17,5.15,5.25,5.11,5.25,0.04,0.77,"55,854","2,904",2.69,0.37
600429,2020-06-16,5.20,5.23,5.17,5.21,0.01,0.19,"29,786","1,546",1.15,0.20
600429,2020-06-15,5.15,5.26,5.10,5.20,0.03,0.58,"33,749","1,758",3.09,0.23
600429,2020-06-12,5.08,5.22,5.03,5.17,0.00,0.00,"35,307","1,816",3.68,0.24
600429,2020-06-11,5.26,5.28,5.16,5.17,-0.11,-2.08,"50,606","2,637",2.27,0.34
600429,2020-06-10,5.35,5.35,5.22,5.28,-0.07,-1.31,"60,696","3,197",2.43,0.41
600429,2020-06-09,5.31,5.41,5.30,5.35,0.04,0.75,"69,564","3,725",2.07,0.46
600429,2020-06-08,5.32,5.36,5.27,5.31,0.00,0.00,"53,952","2,861",1.69,0.36
600429,2020-06-05,5.35,5.35,5.23,5.31,-0.04,-0.75,"67,326","3,553",2.24,0.45
600429,2020-06-04,5.34,5.46,5.31,5.35,0.00,0.00,"69,646","3,743",2.80,0.47
600429,2020-06-03,5.44,5.47,5.34,5.35,-0.09,-1.65,"87,967","4,740",2.39,0.59
600429,2020-06-02,5.52,5.52,5.34,5.44,-0.09,-1.63,"133,861","7,254",3.26,0.89
600429,2020-06-01,5.50,5.65,5.30,5.53,0.03,0.55,"204,709","11,308",6.36,1.37
600429,2020-05-29,5.32,5.79,5.23,5.50,0.09,1.66,"246,543","13,694",10.35,1.65
600429,2020-05-28,5.58,5.60,5.28,5.41,-0.43,-7.36,"268,762","14,552",5.48,1.79
600429,2020-05-27,5.37,5.84,5.28,5.84,0.53,9.98,"396,665","22,372",10.55,2.65
600429,2020-05-26,5.45,5.45,5.22,5.31,-0.04,-0.75,"193,626","10,342",4.30,1.29
600429,2020-05-25,4.86,5.35,4.86,5.35,0.49,10.08,"211,616","11,146",10.08,1.41
600429,2020-05-22,4.96,4.96,4.82,4.86,-0.10,-2.02,"26,753","1,307",2.82,0.18
600429,2020-05-21,5.01,5.05,4.95,4.96,-0.09,-1.78,"34,309","1,714",1.98,0.23
600429,2020-05-20,5.03,5.16,5.00,5.05,-0.02,-0.39,"45,765","2,320",3.16,0.31
600429,2020-05-19,5.17,5.17,5.02,5.07,-0.05,-0.98,"62,051","3,156",2.93,0.41
600429,2020-05-18,4.89,5.27,4.86,5.12,0.23,4.70,"104,027","5,302",8.38,0.69
600429,2020-05-15,4.91,4.94,4.84,4.89,-0.01,-0.20,"24,217","1,181",2.04,0.16
