公司编码,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
002847,2020-07-14,114.00,114.00,104.00,106.03,-9.48,-8.21,"34,578","37,222",8.66,2.76
002847,2020-07-13,110.01,116.00,108.50,115.51,3.81,3.41,"27,004","29,842",6.71,2.15
002847,2020-07-10,106.88,114.71,105.81,111.70,4.82,4.51,"23,865","26,405",8.33,1.90
002847,2020-07-09,103.00,108.83,103.00,106.88,1.86,1.77,"24,469","25,916",5.55,1.97
002847,2020-07-08,98.68,106.66,98.31,105.02,5.69,5.73,"31,917","32,949",8.41,2.57
002847,2020-07-07,98.00,102.54,94.05,99.33,2.97,3.08,"30,317","29,652",8.81,2.44
002847,2020-07-06,93.49,98.47,92.00,96.36,2.87,3.07,"35,029","33,543",6.92,2.82
002847,2020-07-03,95.00,96.34,91.00,93.49,-2.01,-2.10,"24,747","22,989",5.59,2.00
002847,2020-07-02,93.55,97.38,92.32,95.50,1.61,1.71,"23,801","22,700",5.39,1.92
002847,2020-07-01,94.54,97.96,92.00,93.89,-1.33,-1.40,"26,882","25,194",6.26,2.17
公司编码,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
002847,2020-06-30,88.50,95.39,87.58,95.22,8.42,9.70,"45,871","42,726",9.00,3.70
002847,2020-06-29,92.80,92.82,84.85,86.80,-6.80,-7.27,"45,187","39,656",8.52,3.64
002847,2020-06-24,95.66,97.62,93.42,93.60,-1.96,-2.05,"21,677","20,640",4.40,1.75
002847,2020-06-23,93.39,95.65,92.20,95.56,2.66,2.86,"20,258","19,162",3.71,1.63
002847,2020-06-22,93.98,95.00,91.61,92.90,-1.50,-1.59,"16,928","15,762",3.59,1.37
002847,2020-06-19,93.33,96.00,92.95,94.40,1.46,1.57,"18,402","17,385",3.28,1.48
002847,2020-06-18,92.99,93.70,91.05,92.94,-0.06,-0.06,"12,012","11,093",2.85,0.97
002847,2020-06-17,96.11,96.18,91.00,93.00,-2.99,-3.11,"27,196","25,168",5.40,2.19
002847,2020-06-16,90.63,96.45,90.00,95.99,5.99,6.66,"33,047","31,168",7.17,2.67
002847,2020-06-15,92.25,93.59,89.50,90.00,-2.30,-2.49,"19,686","17,847",4.43,1.59
002847,2020-06-12,89.00,93.00,89.00,92.30,0.82,0.90,"13,048","11,977",4.37,1.05
002847,2020-06-11,92.99,93.97,90.48,91.48,-1.95,-2.09,"16,730","15,312",3.74,1.35
002847,2020-06-10,91.57,95.60,90.97,93.43,1.43,1.55,"24,232","22,733",5.03,1.95
002847,2020-06-09,90.90,93.44,89.33,92.00,1.98,2.20,"21,539","19,762",4.57,1.74
002847,2020-06-08,94.00,94.00,90.00,90.02,-4.22,-4.48,"26,510","24,287",4.24,2.14
002847,2020-06-05,96.25,96.78,92.22,94.24,-1.97,-2.05,"19,511","18,336",4.74,1.57
002847,2020-06-04,96.44,96.75,94.50,96.21,-0.50,-0.52,"14,779","14,125",2.33,1.19
002847,2020-06-03,96.00,97.51,92.50,96.71,-1.26,-1.29,"31,436","29,845",5.11,2.54
002847,2020-06-02,108.01,108.39,97.96,97.97,-10.87,-9.99,"47,456","47,706",9.58,3.83
002847,2020-06-01,102.00,108.84,101.51,108.84,6.84,6.71,"19,153","20,333",7.19,1.54
002847,2020-05-29,95.99,103.50,95.06,102.00,5.49,5.69,"20,939","21,030",8.75,1.69
002847,2020-05-28,93.00,96.69,91.91,96.51,2.11,2.24,"13,127","12,366",5.06,1.06
002847,2020-05-27,92.54,98.83,91.55,94.40,1.80,1.94,"24,227","22,887",7.86,1.95
002847,2020-05-26,91.00,93.00,89.21,92.60,1.25,1.37,"16,180","14,770",4.15,1.30
002847,2020-05-25,89.48,92.60,88.03,91.35,1.66,1.85,"18,536","16,821",5.10,1.49
002847,2020-05-22,88.10,91.10,86.12,89.69,1.59,1.80,"22,441","19,755",5.65,1.81
002847,2020-05-21,88.18,89.30,86.11,88.10,0.26,0.30,"18,929","16,674",3.63,1.53
