公司编码,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
600866,2020-07-14,5.45,5.46,5.15,5.25,-0.09,-1.69,"318,073","16,716",5.81,4.40
600866,2020-07-13,5.07,5.38,5.07,5.34,0.27,5.33,"337,224","17,649",6.11,4.67
600866,2020-07-10,5.19,5.24,5.04,5.07,-0.12,-2.31,"291,246","14,973",3.85,4.03
600866,2020-07-09,4.94,5.20,4.90,5.19,0.25,5.06,"377,384","19,141",6.07,5.22
600866,2020-07-08,4.92,4.95,4.82,4.94,0.04,0.82,"252,424","12,346",2.65,3.49
600866,2020-07-07,4.94,5.02,4.84,4.90,-0.01,-0.20,"353,010","17,440",3.67,4.89
600866,2020-07-06,4.79,4.92,4.74,4.91,0.17,3.59,"277,379","13,449",3.80,3.84
600866,2020-07-03,4.68,4.76,4.63,4.74,0.06,1.28,"200,410","9,451",2.78,2.77
600866,2020-07-02,4.59,4.72,4.58,4.68,0.10,2.18,"196,837","9,148",3.06,2.72
600866,2020-07-01,4.54,4.59,4.52,4.58,0.04,0.88,"97,704","4,458",1.54,1.35
公司编码,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
600866,2020-06-30,4.51,4.56,4.50,4.54,0.02,0.44,"77,325","3,504",1.33,1.07
600866,2020-06-29,4.48,4.53,4.45,4.52,0.03,0.67,"59,072","2,657",1.78,0.82
600866,2020-06-24,4.55,4.56,4.46,4.49,-0.04,-0.88,"75,983","3,410",2.21,1.05
600866,2020-06-23,4.57,4.58,4.52,4.53,-0.05,-1.09,"77,474","3,528",1.31,1.07
600866,2020-06-22,4.63,4.65,4.57,4.58,-0.05,-1.08,"96,072","4,422",1.73,1.33
600866,2020-06-19,4.66,4.67,4.59,4.63,-0.02,-0.43,"103,598","4,790",1.72,1.43
600866,2020-06-18,4.72,4.73,4.63,4.65,-0.10,-2.11,"137,613","6,411",2.11,1.91
600866,2020-06-17,4.68,4.79,4.62,4.75,0.08,1.71,"195,448","9,241",3.64,2.71
600866,2020-06-16,4.68,4.70,4.61,4.67,-0.03,-0.64,"119,525","5,564",1.91,1.65
600866,2020-06-15,4.59,4.75,4.54,4.70,0.13,2.84,"189,796","8,831",4.60,2.63
600866,2020-06-12,4.39,4.59,4.36,4.57,0.10,2.24,"127,220","5,725",5.15,1.76
600866,2020-06-11,4.56,4.59,4.47,4.47,-0.09,-1.97,"91,173","4,128",2.63,1.26
600866,2020-06-10,4.62,4.64,4.55,4.56,-0.08,-1.72,"71,924","3,295",1.94,1.00
600866,2020-06-09,4.64,4.66,4.57,4.64,0.00,0.00,"92,068","4,245",1.94,1.27
600866,2020-06-08,4.76,4.78,4.63,4.64,-0.05,-1.07,"113,712","5,320",3.20,1.57
600866,2020-06-05,4.78,4.79,4.62,4.69,-0.08,-1.68,"145,580","6,813",3.56,2.02
600866,2020-06-04,4.68,4.78,4.66,4.77,0.09,1.92,"152,542","7,226",2.56,2.11
600866,2020-06-03,4.68,4.73,4.64,4.68,0.03,0.65,"120,437","5,652",1.94,1.67
600866,2020-06-02,4.66,4.69,4.60,4.65,0.00,0.00,"116,386","5,402",1.94,1.61
600866,2020-06-01,4.55,4.67,4.52,4.65,0.12,2.65,"133,538","6,166",3.31,1.85
600866,2020-05-29,4.42,4.54,4.40,4.53,0.08,1.80,"102,659","4,630",3.15,1.42
600866,2020-05-28,4.53,4.54,4.38,4.45,-0.05,-1.11,"100,386","4,470",3.56,1.39
600866,2020-05-27,4.56,4.61,4.48,4.50,-0.06,-1.32,"115,198","5,251",2.85,1.59
600866,2020-05-26,4.50,4.57,4.45,4.56,0.08,1.79,"107,562","4,864",2.68,1.49
600866,2020-05-25,4.37,4.52,4.33,4.48,0.12,2.75,"122,031","5,421",4.36,1.69
600866,2020-05-22,4.53,4.56,4.34,4.36,-0.17,-3.75,"157,355","6,943",4.86,2.18
600866,2020-05-21,4.64,4.64,4.52,4.53,-0.09,-1.95,"124,950","5,726",2.60,1.73
600866,2020-05-20,4.68,4.76,4.60,4.62,-0.08,-1.70,"131,102","6,122",3.40,1.81
600866,2020-05-19,4.76,4.76,4.63,4.70,-0.03,-0.63,"125,761","5,891",2.75,1.74
600866,2020-05-18,4.69,4.75,4.62,4.73,0.06,1.28,"146,369","6,879",2.78,2.03
600866,2020-05-15,4.74,4.75,4.66,4.67,-0.04,-0.85,"130,965","6,138",1.91,1.81
600866,2020-05-14,4.84,4.86,4.70,4.71,-0.17,-3.48,"179,331","8,566",3.28,2.48
600866,2020-05-13,4.81,4.89,4.76,4.88,0.04,0.83,"151,878","7,366",2.69,2.10
600866,2020-05-12,4.80,4.86,4.75,4.84,0.04,0.83,"118,944","5,729",2.29,1.65
600866,2020-05-11,4.82,4.87,4.74,4.80,-0.03,-0.62,"120,098","5,761",2.69,1.66
600866,2020-05-08,4.79,4.85,4.77,4.83,0.06,1.26,"129,983","6,261",1.68,1.80
600866,2020-05-07,4.81,4.87,4.76,4.77,-0.05,-1.04,"131,416","6,313",2.28,1.82
600866,2020-05-06,4.68,4.84,4.65,4.82,0.08,1.69,"159,108","7,570",4.01,2.20
600866,2020-04-30,4.73,4.77,4.68,4.74,0.11,2.38,"179,328","8,477",1.94,2.48
600866,2020-04-29,4.73,4.78,4.60,4.63,-0.12,-2.53,"174,734","8,178",3.79,2.42
600866,2020-04-28,4.86,4.91,4.56,4.75,-0.11,-2.26,"169,117","8,020",7.20,2.34
600866,2020-04-27,5.11,5.11,4.84,4.86,-0.26,-5.08,"302,661","14,973",5.27,4.19
600866,2020-04-24,5.31,5.31,5.12,5.12,-0.29,-5.36,"264,371","13,737",3.51,3.86
600866,2020-04-23,5.30,5.52,5.26,5.41,0.09,1.69,"321,937","17,357",4.89,4.70
600866,2020-04-22,5.19,5.35,5.17,5.32,0.03,0.57,"209,114","11,010",3.40,3.06
600866,2020-04-21,5.35,5.36,5.24,5.29,-0.14,-2.58,"257,324","13,612",2.21,3.76
600866,2020-04-20,5.44,5.57,5.29,5.43,-0.09,-1.63,"348,772","18,852",5.07,5.10
600866,2020-04-17,5.80,5.83,5.47,5.52,0.21,3.95,"544,427","30,629",6.78,7.96
600866,2020-04-16,5.40,5.41,5.21,5.31,-0.15,-2.75,"301,455","15,955",3.66,4.41
600866,2020-04-15,5.43,5.60,5.40,5.46,0.02,0.37,"298,621","16,397",3.68,4.36
600866,2020-04-14,5.51,5.52,5.32,5.44,-0.05,-0.91,"286,990","15,530",3.64,4.19
600866,2020-04-13,5.50,5.58,5.34,5.49,-0.16,-2.83,"298,718","16,331",4.25,4.37
600866,2020-04-10,5.92,5.93,5.62,5.65,-0.30,-5.04,"430,942","24,815",5.21,6.30
600866,2020-04-09,5.78,6.16,5.71,5.95,0.24,4.20,"652,871","38,626",7.88,9.54
600866,2020-04-08,5.56,5.97,5.54,5.71,0.08,1.42,"534,667","30,704",7.64,7.81
600866,2020-04-07,5.43,5.75,5.32,5.63,0.29,5.43,"419,094","23,162",8.05,6.12
600866,2020-04-03,5.31,5.45,5.28,5.34,0.07,1.33,"294,096","15,779",3.23,4.30
600866,2020-04-02,5.27,5.28,5.15,5.27,-0.04,-0.75,"256,350","13,344",2.45,3.75
600866,2020-04-01,5.42,5.46,5.28,5.31,-0.20,-3.63,"331,492","17,740",3.27,4.84
