公司编码,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
002626,2020-07-14,38.81,38.81,38.81,38.81,3.53,10.01,"13,958","5,417",0.00,0.23
002626,2020-07-13,35.28,35.28,35.28,35.28,3.21,10.01,"52,665","18,580",0.00,0.85
002626,2020-07-10,30.00,32.07,29.55,32.07,2.92,10.02,"193,144","60,429",8.64,3.13
002626,2020-07-09,26.80,29.15,26.80,29.15,2.65,10.00,"225,285","64,384",8.87,3.65
002626,2020-07-08,26.10,26.68,25.95,26.50,0.37,1.42,"97,477","25,686",2.79,1.58
002626,2020-07-07,25.65,26.68,25.53,26.13,0.39,1.52,"135,804","35,653",4.47,2.20
002626,2020-07-06,25.23,25.82,25.05,25.74,0.16,0.63,"139,355","35,563",3.01,2.26
002626,2020-07-03,26.46,26.60,25.23,25.58,-1.02,-3.83,"166,870","42,731",5.15,2.71
002626,2020-07-02,25.60,27.10,25.43,26.60,1.00,3.91,"136,781","36,154",6.52,2.22
002626,2020-07-01,26.10,26.37,25.16,25.60,-0.36,-1.39,"97,731","25,142",4.66,1.59
公司编码,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
002626,2020-06-30,25.65,26.22,25.31,25.96,0.55,2.16,"106,397","27,521",3.58,1.73
002626,2020-06-29,24.93,26.00,24.90,25.41,0.46,1.84,"119,990","30,574",4.41,1.95
002626,2020-06-24,25.19,25.78,24.86,24.95,0.01,0.04,"117,545","29,647",3.69,1.91
002626,2020-06-23,24.56,25.39,24.52,24.94,0.69,2.85,"149,485","37,276",3.59,2.42
002626,2020-06-22,24.75,25.23,24.10,24.25,-0.36,-1.46,"114,931","28,284",4.59,1.86
002626,2020-06-19,24.35,25.07,24.26,24.61,0.23,0.94,"101,339","25,004",3.32,1.64
002626,2020-06-18,24.80,24.85,23.61,24.38,-0.62,-2.48,"136,033","33,022",4.96,2.21
002626,2020-06-17,24.94,25.08,24.25,25.00,0.06,0.24,"108,056","26,716",3.33,1.75
002626,2020-06-16,24.81,25.29,24.66,24.94,0.44,1.80,"97,881","24,388",2.57,1.59
002626,2020-06-15,24.99,25.47,24.50,24.50,-0.26,-1.05,"130,309","32,520",3.92,2.11
002626,2020-06-12,24.00,24.98,23.82,24.76,0.26,1.06,"110,722","27,214",4.73,1.80
002626,2020-06-11,24.80,24.96,24.07,24.50,0.00,0.00,"126,379","30,906",3.63,2.05
002626,2020-06-10,24.59,24.85,24.17,24.50,-0.01,-0.04,"105,000","25,637",2.77,1.70
002626,2020-06-09,23.03,25.13,23.00,24.51,1.48,6.43,"184,312","44,856",9.25,2.99
002626,2020-06-08,23.40,23.75,22.86,23.03,-0.29,-1.24,"97,462","22,628",3.82,1.58
