公司编码,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
600381,2020-07-14,5.59,5.84,5.53,5.68,0.10,1.79,"158,667","8,977",5.56,2.70
600381,2020-07-13,5.52,5.66,5.43,5.58,0.02,0.36,"161,610","8,990",4.14,2.75
600381,2020-07-10,5.35,5.79,5.31,5.56,0.19,3.54,"226,277","12,442",8.94,3.85
600381,2020-07-09,5.28,5.42,5.26,5.37,0.05,0.94,"132,875","7,091",3.01,2.26
600381,2020-07-08,5.21,5.32,5.18,5.32,0.05,0.95,"122,149","6,422",2.66,2.08
600381,2020-07-07,5.28,5.50,5.24,5.27,-0.02,-0.38,"180,063","9,656",4.91,3.07
600381,2020-07-06,5.18,5.34,5.11,5.29,0.09,1.73,"159,917","8,344",4.42,2.72
600381,2020-07-03,5.25,5.32,5.17,5.20,-0.13,-2.44,"151,369","7,905",2.81,2.58
600381,2020-07-02,5.29,5.45,5.22,5.33,-0.05,-0.93,"203,374","10,804",4.28,3.46
600381,2020-07-01,5.11,5.55,4.95,5.38,0.27,5.28,"297,849","15,553",11.74,5.07
公司编码,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
600381,2020-06-30,5.04,5.27,5.01,5.11,-0.09,-1.73,"309,959","15,932",5.00,5.28
600381,2020-06-29,4.85,5.20,4.83,5.20,0.47,9.94,"259,443","13,311",7.82,4.42
600381,2020-06-24,4.94,4.99,4.72,4.73,-0.32,-6.34,"215,196","10,376",5.35,3.67
600381,2020-06-23,4.80,5.05,4.78,5.05,0.46,10.02,"250,757","12,598",5.88,4.27
600381,2020-06-22,4.67,4.68,4.58,4.59,-0.06,-1.29,"29,197","1,346",2.15,0.50
600381,2020-06-19,4.70,4.72,4.64,4.65,-0.03,-0.64,"39,355","1,837",1.71,0.67
600381,2020-06-18,4.77,4.77,4.66,4.68,-0.08,-1.68,"34,594","1,626",2.31,0.59
600381,2020-06-17,4.65,4.78,4.62,4.76,0.10,2.15,"61,842","2,917",3.43,1.05
600381,2020-06-16,4.63,4.70,4.62,4.66,0.02,0.43,"31,410","1,463",1.72,0.54
600381,2020-06-15,4.56,4.75,4.55,4.64,0.07,1.53,"41,769","1,944",4.38,0.71
600381,2020-06-12,4.48,4.59,4.48,4.57,-0.01,-0.22,"26,758","1,212",2.40,0.46
600381,2020-06-11,4.62,4.74,4.57,4.58,-0.03,-0.65,"37,994","1,768",3.69,0.65
600381,2020-06-10,4.57,4.67,4.55,4.61,0.02,0.44,"32,477","1,497",2.61,0.55
600381,2020-06-09,4.57,4.62,4.56,4.59,0.02,0.44,"20,926",961,1.31,0.36
600381,2020-06-08,4.64,4.65,4.56,4.57,-0.07,-1.51,"25,737","1,184",1.94,0.44
600381,2020-06-05,4.66,4.68,4.59,4.64,-0.04,-0.85,"32,057","1,484",1.92,0.55
600381,2020-06-04,4.62,4.71,4.59,4.68,0.07,1.52,"51,363","2,385",2.60,0.87
600381,2020-06-03,4.65,4.71,4.61,4.61,-0.02,-0.43,"51,044","2,378",2.16,0.87
600381,2020-06-02,4.53,4.82,4.53,4.63,0.09,1.98,"70,891","3,292",6.39,1.21
600381,2020-06-01,4.50,4.57,4.48,4.54,0.07,1.57,"39,891","1,806",2.01,0.68
600381,2020-05-29,4.47,4.56,4.43,4.47,0.01,0.22,"36,195","1,631",2.91,0.62
600381,2020-05-28,4.54,4.54,4.42,4.46,-0.09,-1.98,"51,516","2,304",2.64,0.88
600381,2020-05-27,4.50,4.69,4.48,4.55,0.05,1.11,"69,009","3,160",4.67,1.18
600381,2020-05-26,4.49,4.52,4.43,4.50,0.04,0.90,"39,756","1,782",2.02,0.68
600381,2020-05-25,4.38,4.54,4.38,4.46,0.03,0.68,"48,833","2,176",3.61,0.83
600381,2020-05-22,4.37,4.43,4.26,4.43,0.04,0.91,"48,526","2,106",3.87,0.83
600381,2020-05-21,4.38,4.46,4.35,4.39,0.03,0.69,"43,579","1,921",2.52,0.74
600381,2020-05-20,4.38,4.40,4.34,4.36,-0.02,-0.46,"26,177","1,143",1.37,0.45
600381,2020-05-19,4.37,4.39,4.35,4.38,0.02,0.46,"23,434","1,023",0.92,0.40
600381,2020-05-18,4.38,4.41,4.30,4.36,0.00,0.00,"30,387","1,324",2.52,0.52
600381,2020-05-15,4.34,4.39,4.32,4.36,0.01,0.23,"25,583","1,112",1.61,0.44
600381,2020-05-14,4.43,4.44,4.35,4.35,-0.07,-1.58,"25,733","1,129",2.04,0.44
600381,2020-05-13,4.37,4.43,4.36,4.42,0.03,0.68,"30,017","1,321",1.59,0.51
600381,2020-05-12,4.42,4.44,4.33,4.39,-0.01,-0.23,"25,753","1,129",2.50,0.44
600381,2020-05-11,4.42,4.45,4.38,4.40,0.00,0.00,"24,460","1,079",1.59,0.42
600381,2020-05-08,4.39,4.44,4.39,4.40,0.01,0.23,"25,745","1,137",1.14,0.44
600381,2020-05-07,4.40,4.44,4.38,4.39,-0.01,-0.23,"29,969","1,318",1.36,0.51
600381,2020-05-06,4.35,4.41,4.31,4.40,0.02,0.46,"36,877","1,617",2.28,0.63
600381,2020-04-30,4.34,4.40,4.28,4.38,0.06,1.39,"37,142","1,616",2.78,0.63
600381,2020-04-29,4.32,4.38,4.27,4.32,-0.07,-1.59,"42,611","1,845",2.51,0.73
600381,2020-04-28,4.57,4.67,4.22,4.39,-0.19,-4.15,"53,670","2,378",9.83,0.91
600381,2020-04-27,4.57,4.62,4.53,4.58,0.01,0.22,"32,730","1,499",1.97,0.56
600381,2020-04-24,4.70,4.70,4.54,4.57,-0.14,-2.97,"53,945","2,485",3.40,0.92
600381,2020-04-23,4.73,4.75,4.66,4.71,-0.02,-0.42,"43,115","2,031",1.90,0.73
600381,2020-04-22,4.65,4.73,4.63,4.73,0.07,1.50,"38,844","1,822",2.15,0.66
600381,2020-04-21,4.73,4.76,4.62,4.66,-0.12,-2.51,"43,952","2,058",2.93,0.75
600381,2020-04-20,4.74,4.79,4.69,4.78,0.03,0.63,"39,988","1,896",2.11,0.68
600381,2020-04-17,4.79,4.88,4.73,4.75,-0.06,-1.25,"66,646","3,188",3.12,1.14
600381,2020-04-16,4.85,4.86,4.77,4.81,-0.09,-1.84,"73,390","3,529",1.84,1.25
600381,2020-04-15,4.96,4.98,4.81,4.90,-0.06,-1.21,"99,722","4,881",3.43,1.70
600381,2020-04-14,5.18,5.29,4.86,4.96,-0.14,-2.75,"180,273","8,999",8.43,3.07
600381,2020-04-13,4.62,5.10,4.58,5.10,0.46,9.91,"72,276","3,622",11.21,1.23
600381,2020-04-10,4.70,4.71,4.58,4.64,-0.06,-1.28,"48,418","2,243",2.77,0.82
600381,2020-04-09,4.66,4.78,4.66,4.70,0.02,0.43,"54,426","2,566",2.56,0.93
600381,2020-04-08,4.68,4.72,4.64,4.68,-0.01,-0.21,"57,780","2,699",1.71,0.98
600381,2020-04-07,4.65,4.72,4.62,4.69,0.09,1.96,"36,186","1,693",2.17,0.62
600381,2020-04-03,4.58,4.63,4.55,4.60,-0.01,-0.22,"30,012","1,377",1.74,0.51
600381,2020-04-02,4.51,4.62,4.49,4.61,0.04,0.88,"37,175","1,688",2.84,0.63
600381,2020-04-01,4.66,4.68,4.57,4.57,-0.11,-2.35,"29,513","1,365",2.35,0.50
公司编码,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
600381,2020-03-31,4.64,4.75,4.58,4.68,0.07,1.52,"35,432","1,653",3.69,0.60
600381,2020-03-30,4.66,4.70,4.55,4.61,-0.09,-1.91,"30,677","1,414",3.19,0.52
600381,2020-03-27,4.78,4.78,4.69,4.70,-0.02,-0.42,"20,081",951,1.91,0.34
600381,2020-03-26,4.71,4.79,4.71,4.72,-0.04,-0.84,"29,992","1,424",1.68,0.51
600381,2020-03-25,4.71,4.78,4.68,4.76,0.09,1.93,"34,668","1,642",2.14,0.59
600381,2020-03-24,4.69,4.72,4.58,4.67,0.05,1.08,"37,334","1,736",3.03,0.64
600381,2020-03-23,4.73,4.75,4.62,4.62,-0.17,-3.55,"28,166","1,321",2.71,0.48
600381,2020-03-20,4.75,4.80,4.72,4.79,0.06,1.27,"21,830","1,040",1.69,0.37
600381,2020-03-19,4.74,4.76,4.63,4.73,-0.02,-0.42,"34,813","1,636",2.74,0.59
