公司编码,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
002956,2020-07-14,57.99,57.99,52.68,54.31,-3.69,-6.36,"51,250","28,491",9.16,7.34
002956,2020-07-13,55.89,58.05,53.70,58.00,2.20,3.94,"71,049","39,578",7.80,10.18
002956,2020-07-10,53.00,56.60,52.65,55.80,2.26,4.22,"42,853","23,666",7.38,6.14
002956,2020-07-09,52.51,54.49,51.43,53.54,1.86,3.60,"43,850","23,216",5.92,6.28
002956,2020-07-08,52.31,52.66,51.00,51.68,-0.65,-1.24,"30,152","15,605",3.17,4.32
002956,2020-07-07,50.66,53.52,50.52,52.33,1.31,2.57,"52,319","27,200",5.88,7.49
002956,2020-07-06,52.00,52.84,49.55,51.02,-0.78,-1.51,"58,465","29,790",6.35,8.37
002956,2020-07-03,51.00,53.99,50.96,51.80,-0.40,-0.77,"43,502","22,722",5.80,6.23
002956,2020-07-02,109.40,111.58,105.49,106.00,-3.40,-3.11,"24,986","26,849",5.57,7.16
002956,2020-07-01,104.00,110.93,104.00,109.40,0.40,0.37,"37,189","40,114",6.36,10.65
公司编码,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
002956,2020-06-30,100.12,109.91,100.12,109.00,9.08,9.09,"24,120","25,657",9.80,6.91
002956,2020-06-29,92.52,101.30,92.52,99.92,7.59,8.22,"20,163","19,640",9.51,5.78
002956,2020-06-24,90.47,94.20,90.01,92.33,1.83,2.02,"18,678","17,263",4.63,5.35
002956,2020-06-23,83.12,91.52,82.58,90.50,7.30,8.77,"25,210","22,215",10.75,7.22
002956,2020-06-22,79.51,83.56,79.42,83.20,3.01,3.75,"17,457","14,181",5.16,5.00
002956,2020-06-19,81.26,83.11,80.00,80.19,-1.59,-1.94,"21,412","17,285",3.80,6.13
002956,2020-06-18,81.78,82.33,79.62,81.78,0.18,0.22,"9,182","7,432",3.32,4.59
002956,2020-06-17,83.68,84.40,81.10,81.60,-2.80,-3.32,"14,067","11,572",3.91,7.03
002956,2020-06-16,79.17,85.10,77.80,84.40,6.55,8.41,"21,738","17,824",9.38,10.87
002956,2020-06-15,82.94,83.77,77.76,77.85,-4.95,-5.98,"20,103","16,105",7.26,10.05
002956,2020-06-12,79.50,84.36,79.50,82.80,0.13,0.16,"12,275","10,066",5.88,6.14
002956,2020-06-11,79.89,84.80,79.35,82.67,2.31,2.87,"18,269","14,992",6.78,9.13
002956,2020-06-10,76.80,81.28,75.99,80.36,3.18,4.12,"18,577","14,668",6.85,9.29
002956,2020-06-09,74.95,78.40,74.55,77.18,2.13,2.84,"16,060","12,321",5.13,8.03
002956,2020-06-08,74.58,76.52,72.68,75.05,0.44,0.59,"14,356","10,686",5.15,7.18
002956,2020-06-05,76.51,76.92,73.68,74.61,-2.05,-2.67,"16,518","12,349",4.23,8.26
002956,2020-06-04,75.95,77.48,74.80,76.66,1.15,1.52,"15,140","11,534",3.55,7.57
002956,2020-06-03,76.40,76.40,74.50,75.51,-0.29,-0.38,"13,753","10,385",2.51,6.88
002956,2020-06-02,78.61,79.54,75.28,75.80,-3.04,-3.86,"24,412","18,762",5.40,12.21
002956,2020-06-01,77.61,80.60,77.07,78.84,1.23,1.58,"24,272","19,110",4.55,12.14
002956,2020-05-29,74.00,79.10,73.46,77.61,3.41,4.60,"33,468","25,572",7.60,16.73
002956,2020-05-28,75.94,78.50,72.50,74.20,-1.72,-2.27,"37,882","28,448",7.90,18.94
002956,2020-05-27,69.20,75.92,68.61,75.92,6.90,10.00,"27,024","19,976",10.59,13.51
002956,2020-05-26,67.68,69.65,66.31,69.02,1.03,1.51,"22,588","15,361",4.91,11.29
002956,2020-05-25,65.68,68.43,64.84,67.99,1.27,1.90,"24,893","16,596",5.38,12.45
002956,2020-05-22,64.35,69.60,64.35,66.72,2.42,3.76,"34,263","22,875",8.16,17.13
002956,2020-05-21,63.06,66.60,62.40,64.30,1.55,2.47,"27,473","17,750",6.69,13.74
002956,2020-05-20,64.00,65.57,62.65,62.75,-1.25,-1.95,"21,357","13,698",4.56,10.68
002956,2020-05-19,64.32,64.64,62.88,64.00,-0.51,-0.79,"18,187","11,618",2.73,9.09
002956,2020-05-18,64.65,66.10,64.10,64.51,-0.25,-0.39,"17,014","11,030",3.09,8.51
002956,2020-05-15,63.89,64.92,63.27,64.76,0.74,1.16,"17,041","10,903",2.58,8.52
002956,2020-05-14,64.08,65.26,63.35,64.02,-0.46,-0.71,"23,168","14,859",2.96,11.58
002956,2020-05-13,61.70,65.00,61.70,64.48,2.15,3.45,"26,917","17,224",5.29,13.46
002956,2020-05-12,60.70,62.41,59.80,62.33,1.53,2.52,"19,420","11,930",4.29,9.71
002956,2020-05-11,60.02,61.97,60.02,60.80,0.44,0.73,"15,768","9,624",3.23,7.88
002956,2020-05-08,60.28,61.00,59.45,60.36,0.14,0.23,"19,189","11,563",2.57,9.59
002956,2020-05-07,58.67,60.65,58.08,60.22,1.96,3.36,"24,493","14,669",4.41,12.25
002956,2020-05-06,56.95,58.45,56.60,58.26,0.36,0.62,"17,165","9,918",3.20,8.58
002956,2020-04-30,58.51,59.50,56.11,57.90,-2.62,-4.33,"39,797","22,827",5.60,19.90
002956,2020-04-29,59.25,61.00,58.77,60.52,0.72,1.20,"19,939","11,968",3.73,9.97
002956,2020-04-28,58.69,61.13,57.50,59.80,0.89,1.51,"26,083","15,523",6.16,13.04
002956,2020-04-27,60.81,61.48,58.89,58.91,-1.92,-3.16,"22,217","13,338",4.26,11.11
002956,2020-04-24,63.11,63.90,60.35,60.83,-2.27,-3.60,"25,926","16,036",5.63,12.96
002956,2020-04-23,65.65,66.95,63.00,63.10,-3.56,-5.34,"39,005","25,292",5.93,19.50
002956,2020-04-22,63.29,67.50,63.15,66.66,1.94,3.00,"41,733","27,368",6.72,20.87
002956,2020-04-21,63.73,66.67,62.68,64.72,2.03,3.24,"52,174","33,618",6.36,26.09
002956,2020-04-20,62.69,62.69,61.68,62.69,5.70,10.00,"15,199","9,509",1.77,7.60
002956,2020-04-17,57.48,58.28,55.88,56.99,-0.37,-0.65,"24,600","14,035",4.18,12.30
002956,2020-04-16,53.46,58.58,53.38,57.36,3.90,7.30,"30,859","17,314",9.73,15.43
002956,2020-04-15,54.31,54.79,53.25,53.46,-0.99,-1.82,"11,377","6,131",2.83,5.69
002956,2020-04-14,53.99,54.78,53.15,54.45,0.45,0.83,"13,297","7,185",3.02,6.65
002956,2020-04-13,53.09,54.80,53.00,54.00,0.59,1.10,"12,029","6,498",3.37,6.01
002956,2020-04-10,55.33,55.73,52.88,53.41,-1.82,-3.30,"18,205","9,848",5.16,9.10
002956,2020-04-09,55.80,56.50,54.20,55.23,-0.36,-0.65,"19,153","10,580",4.14,9.58
002956,2020-04-08,56.79,56.88,55.50,55.59,-2.00,-3.47,"21,467","12,004",2.40,10.73
002956,2020-04-07,55.50,58.45,54.20,57.59,3.09,5.67,"33,148","18,690",7.80,16.57
002956,2020-04-03,52.55,56.42,52.50,54.50,2.01,3.83,"25,777","14,159",7.47,12.89
002956,2020-04-02,53.03,53.52,51.82,52.49,-0.88,-1.65,"15,506","8,136",3.19,7.75
002956,2020-04-01,54.62,54.86,53.01,53.37,-1.83,-3.32,"20,851","11,224",3.35,10.43
公司编码,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
002956,2020-03-31,53.70,55.99,53.01,55.20,2.15,4.05,"29,062","15,942",5.62,14.53
002956,2020-03-30,53.42,55.17,52.86,53.05,0.13,0.25,"23,446","12,610",4.37,11.72
002956,2020-03-27,56.13,56.20,52.88,52.92,-2.76,-4.96,"27,202","14,805",5.96,13.60
002956,2020-03-26,54.11,56.44,53.71,55.68,1.43,2.64,"34,315","18,982",5.03,17.16
002956,2020-03-25,53.08,55.80,52.30,54.25,2.66,5.16,"37,920","20,449",6.78,18.96
002956,2020-03-24,47.61,51.59,47.61,51.59,4.69,10.00,"26,075","13,102",8.49,13.04
002956,2020-03-23,48.00,48.96,46.80,46.90,-2.15,-4.38,"9,359","4,506",4.40,4.68
002956,2020-03-20,48.94,49.33,48.01,49.05,0.11,0.22,"11,066","5,382",2.70,5.53
002956,2020-03-19,47.86,49.38,47.01,48.94,1.34,2.82,"13,900","6,750",4.98,6.95
002956,2020-03-18,45.98,48.89,45.41,47.60,2.07,4.55,"17,505","8,338",7.64,8.75
002956,2020-03-17,45.00,45.80,44.44,45.53,0.53,1.18,"6,502","2,934",3.02,3.25
002956,2020-03-16,47.47,47.63,44.68,45.00,-2.00,-4.26,"7,635","3,526",6.28,3.82
002956,2020-03-13,45.01,47.70,44.13,47.00,-0.07,-0.15,"8,320","3,857",7.58,4.16
002956,2020-03-12,48.35,48.60,46.98,47.07,-1.81,-3.70,"9,957","4,742",3.31,4.98
002956,2020-03-11,49.40,49.86,48.88,48.88,-0.63,-1.27,"7,905","3,905",1.98,3.95
002956,2020-03-10,48.00,49.68,47.88,49.51,0.94,1.94,"9,463","4,618",3.71,4.73
002956,2020-03-09,49.70,49.70,48.55,48.57,-1.73,-3.44,"11,510","5,644",2.29,5.76
002956,2020-03-06,51.15,51.50,50.21,50.30,-1.42,-2.75,"12,433","6,313",2.49,6.22
002956,2020-03-05,50.31,53.20,50.30,51.72,1.57,3.13,"22,471","11,626",5.78,11.24
002956,2020-03-04,48.52,50.35,48.42,50.15,1.64,3.38,"14,963","7,405",3.98,7.48
002956,2020-03-03,49.23,49.34,48.21,48.51,-0.17,-0.35,"12,236","5,987",2.32,6.12
002956,2020-03-02,48.06,48.86,47.05,48.68,1.18,2.48,"14,976","7,221",3.81,7.49
002956,2020-02-28,47.99,48.60,46.69,47.50,-1.18,-2.42,"13,082","6,199",3.92,6.54
002956,2020-02-27,47.17,49.80,47.16,48.68,1.54,3.27,"20,076","9,769",5.60,10.04
002956,2020-02-26,46.50,47.25,46.00,47.14,0.30,0.64,"8,668","4,050",2.67,4.33
002956,2020-02-25,47.01,47.39,46.07,46.84,-1.00,-2.09,"9,574","4,478",2.76,4.79
002956,2020-02-24,48.01,48.15,47.29,47.84,-0.55,-1.14,"11,121","5,298",1.78,5.56
002956,2020-02-21,48.66,48.94,47.86,48.39,-0.27,-0.55,"11,788","5,702",2.22,5.89
002956,2020-02-20,48.12,49.38,47.81,48.66,0.52,1.08,"15,035","7,313",3.26,7.52
002956,2020-02-19,46.95,50.00,46.78,48.14,1.19,2.53,"18,014","8,659",6.86,9.01
002956,2020-02-18,46.57,47.00,46.42,46.95,0.34,0.73,"8,624","4,034",1.24,4.31
002956,2020-02-17,45.02,46.70,44.95,46.61,1.58,3.51,"7,768","3,587",3.89,3.88
002956,2020-02-14,45.55,45.56,44.97,45.03,-0.54,-1.19,"5,323","2,407",1.29,2.66
002956,2020-02-13,46.49,46.50,45.31,45.57,-0.93,-2.00,"8,547","3,914",2.56,4.27
002956,2020-02-12,46.02,46.61,46.02,46.50,0.14,0.30,"6,175","2,862",1.27,3.09
002956,2020-02-11,46.98,46.98,46.32,46.36,-0.62,-1.32,"5,728","2,666",1.40,2.86
002956,2020-02-10,45.80,47.25,45.40,46.98,0.83,1.80,"8,921","4,127",4.01,4.46
002956,2020-02-07,45.47,46.17,45.05,46.15,0.63,1.38,"8,286","3,775",2.46,4.14
002956,2020-02-06,44.18,45.80,44.18,45.52,0.70,1.56,"9,631","4,365",3.61,4.82
002956,2020-02-05,43.27,46.00,43.22,44.82,1.55,3.58,"10,182","4,556",6.42,5.09
002956,2020-02-04,41.11,43.80,41.11,43.27,-1.10,-2.48,"10,851","4,656",6.06,5.43
002956,2020-02-03,44.37,44.37,44.37,44.37,-4.93,-10.00,"3,824","1,697",0.00,1.91
002956,2020-01-23,51.40,51.40,49.16,49.30,-2.06,-4.01,"11,745","5,880",4.36,5.87
002956,2020-01-22,51.09,51.50,50.80,51.36,-0.33,-0.64,"6,948","3,552",1.35,3.47
