公司编码,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
603866,2020-07-14,56.18,59.30,54.88,57.94,1.84,3.28,"123,956","70,935",7.88,1.88
603866,2020-07-13,53.10,56.71,53.10,56.10,3.42,6.49,"136,797","76,220",6.85,2.08
603866,2020-07-10,52.33,53.00,51.59,52.68,0.37,0.71,"83,787","43,882",2.70,1.27
603866,2020-07-09,50.00,52.32,49.60,52.31,2.31,4.62,"105,045","53,854",5.44,1.59
603866,2020-07-08,50.87,51.50,49.82,50.00,-0.93,-1.83,"69,627","35,060",3.30,1.06
603866,2020-07-07,49.38,51.27,48.85,50.93,1.61,3.26,"81,786","41,055",4.91,1.24
603866,2020-07-06,48.85,49.58,48.37,49.32,0.22,0.45,"66,705","32,724",2.46,1.01
603866,2020-07-03,51.00,51.00,48.90,49.10,-1.83,-3.59,"88,752","43,716",4.12,1.35
603866,2020-07-02,52.27,52.50,50.32,50.93,-0.25,-0.49,"79,876","40,936",4.26,1.21
603866,2020-07-01,51.50,51.60,50.42,51.18,0.29,0.57,"29,406","15,007",2.32,0.45
公司编码,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
603866,2020-06-30,49.68,51.18,49.33,50.89,1.57,3.18,"33,156","16,737",3.75,0.50
603866,2020-06-29,49.73,50.20,48.93,49.32,-0.47,-0.94,"25,803","12,757",2.55,0.39
603866,2020-06-24,50.45,50.50,49.23,49.79,-0.58,-1.15,"35,374","17,569",2.52,0.54
603866,2020-06-23,50.11,50.69,49.33,50.37,0.57,1.14,"42,449","21,288",2.73,0.64
603866,2020-06-22,50.71,50.89,49.65,49.80,-0.90,-1.78,"37,251","18,640",2.45,0.57
603866,2020-06-19,50.88,51.59,50.48,50.70,-0.23,-0.45,"33,774","17,193",2.18,0.51
603866,2020-06-18,51.51,52.04,50.26,50.93,-0.80,-1.55,"27,816","14,133",3.44,0.42
603866,2020-06-17,51.30,51.93,50.68,51.73,0.30,0.58,"27,928","14,342",2.43,0.42
603866,2020-06-16,50.45,51.73,50.45,51.43,0.98,1.94,"28,110","14,351",2.54,0.43
603866,2020-06-15,51.00,52.34,50.27,50.45,-0.86,-1.68,"43,265","22,071",4.03,0.66
603866,2020-06-12,50.56,51.70,50.15,51.31,0.45,0.88,"26,307","13,445",3.05,0.40
603866,2020-06-11,51.60,52.28,50.08,50.86,-1.07,-2.06,"38,089","19,451",4.24,0.58
603866,2020-06-10,51.47,52.48,51.30,51.93,0.05,0.10,"25,419","13,192",2.27,0.39
603866,2020-06-09,49.97,52.23,49.55,51.88,1.88,3.76,"48,752","25,025",5.36,0.74
603866,2020-06-08,50.50,51.00,49.50,50.00,-0.32,-0.64,"44,405","22,226",2.98,0.67
603866,2020-06-05,51.01,51.15,50.06,50.32,-0.84,-1.64,"37,530","18,978",2.13,0.57
603866,2020-06-04,49.18,51.40,49.18,51.16,1.80,3.65,"47,473","24,022",4.50,0.72
603866,2020-06-03,49.55,50.45,49.18,49.36,-0.89,-1.77,"42,325","21,011",2.53,0.64
603866,2020-06-02,49.75,51.15,49.51,50.25,0.25,0.50,"52,823","26,500",3.28,0.80
603866,2020-06-01,49.80,50.95,48.50,50.00,0.77,1.56,"76,824","38,243",4.98,1.17
603866,2020-05-29,48.72,50.25,48.07,50.23,1.22,2.49,"61,458","30,341",4.45,0.93
603866,2020-05-28,48.05,49.61,47.15,49.01,1.00,2.08,"47,239","22,893",5.12,0.72
603866,2020-05-27,50.40,50.44,47.88,48.01,-1.81,-3.63,"47,651","23,235",5.14,0.72
603866,2020-05-26,49.32,50.50,48.40,49.82,0.82,1.67,"45,057","22,487",4.29,0.68
603866,2020-05-25,46.40,49.58,45.86,49.00,2.21,4.72,"59,729","28,912",7.95,0.91
603866,2020-05-22,47.64,48.40,46.26,46.79,-0.63,-1.33,"64,212","30,153",4.51,0.97
603866,2020-05-21,49.10,49.48,47.35,47.42,-1.41,-2.89,"41,756","20,201",4.36,0.63
603866,2020-05-20,50.08,50.10,48.40,48.83,-1.27,-2.53,"44,412","21,775",3.39,0.67
603866,2020-05-19,50.60,50.80,49.21,50.10,-0.51,-1.01,"50,647","25,281",3.14,0.77
603866,2020-05-18,49.88,51.00,48.80,50.61,1.18,2.39,"61,167","30,720",4.45,0.93
603866,2020-05-15,50.27,50.47,48.68,49.43,-0.47,-0.94,"27,778","13,719",3.59,0.42
603866,2020-05-14,50.60,50.60,49.17,49.90,-0.75,-1.48,"29,152","14,538",2.82,0.44
603866,2020-05-13,50.28,50.95,49.43,50.65,0.69,1.38,"43,030","21,725",3.04,0.65
603866,2020-05-12,48.58,50.16,48.10,49.96,1.51,3.12,"42,659","21,114",4.25,0.65
603866,2020-05-11,50.75,50.85,47.90,48.45,-1.80,-3.58,"64,810","31,460",5.87,0.98
603866,2020-05-08,50.31,51.00,48.67,50.25,0.29,0.58,"51,541","25,841",4.66,0.78
603866,2020-05-07,49.00,50.60,48.36,49.96,0.69,1.40,"49,980","24,878",4.55,0.76
603866,2020-05-06,48.44,49.50,47.47,49.27,0.19,0.39,"57,265","27,868",4.14,0.87
603866,2020-04-30,50.60,50.60,47.63,49.08,-1.62,-3.20,"61,389","29,815",5.86,0.93
603866,2020-04-29,53.55,53.69,49.94,50.70,-2.97,-5.53,"45,887","23,562",6.99,0.70
603866,2020-04-28,52.48,53.84,51.61,53.67,1.20,2.29,"31,569","16,787",4.25,0.48
603866,2020-04-27,52.39,52.80,50.68,52.47,0.12,0.23,"23,873","12,411",4.05,0.36
603866,2020-04-24,52.25,52.50,50.97,52.35,0.45,0.87,"18,205","9,453",2.95,0.28
603866,2020-04-23,53.18,53.62,51.82,51.90,-1.28,-2.41,"27,674","14,538",3.38,0.42
603866,2020-04-22,51.71,53.40,51.39,53.18,1.48,2.86,"30,302","16,037",3.89,0.46
603866,2020-04-21,51.00,52.80,50.78,51.70,0.22,0.43,"26,261","13,556",3.92,0.40
603866,2020-04-20,51.07,51.78,50.22,51.48,0.70,1.38,"27,826","14,247",3.07,0.42
603866,2020-04-17,52.30,53.38,50.70,50.78,-2.22,-4.19,"61,323","31,723",5.06,0.93
603866,2020-04-16,54.50,55.55,51.91,53.00,-0.25,-0.47,"91,090","49,195",6.84,1.38
603866,2020-04-15,53.39,53.48,51.75,53.25,-0.24,-0.45,"36,899","19,421",3.23,0.56
603866,2020-04-14,54.55,54.70,52.34,53.49,-1.00,-1.84,"54,918","29,214",4.33,0.83
603866,2020-04-13,52.50,54.80,52.06,54.49,1.53,2.89,"29,804","16,040",5.17,0.45
603866,2020-04-10,52.03,54.18,51.83,52.96,1.26,2.44,"42,312","22,478",4.55,0.64
603866,2020-04-09,49.61,51.73,49.61,51.70,1.82,3.65,"28,630","14,629",4.25,0.43
603866,2020-04-08,50.65,51.16,49.50,49.88,-1.30,-2.54,"26,463","13,209",3.24,0.40
603866,2020-04-07,49.00,51.46,48.99,51.18,2.53,5.20,"29,902","15,149",5.08,0.45
603866,2020-04-03,47.20,49.00,47.20,48.65,1.02,2.14,"21,530","10,418",3.78,0.33
603866,2020-04-02,47.37,48.30,46.90,47.63,-0.26,-0.54,"29,286","13,878",2.92,0.44
603866,2020-04-01,50.10,50.15,47.70,47.89,-1.59,-3.21,"29,897","14,523",4.95,0.45
